name,photo_1,description_long,description_short,neighborhood,source1,source2,source_article1,source_article2,category,picture_cred

21st Amendment Brewpub,https://assets3.thrillist.com/v1/image/3091194/750x500/flatten;crop;webp=auto;jpeg_quality=50.jpg,"21st Amendment opened in South Park 22 years ago, and though it has since moved the bulk of its operations to its much larger San Leandro location, you can still stop in the brewpub for a pint of its summer classic Hell or High Watermelon wheat beer and your choice of seven different burgers (the Patty Melt is our go-to). If for some reason, you aren’t into 21st Amendment’s popular summer brew, there are ten other options on tap. Not sure what you like? Try a flight to figure it out.
How to book: Walk-ins only.",Brewery,Mission Bay,Thrillist,,Where to Eat and Drink Near Oracle Park,,drink,Photo courtesy of 21st Amendment Brewery & Restaurant

Red's Java House,https://assets3.thrillist.com/v1/image/3091196/750x500/flatten;crop;webp=auto;jpeg_quality=50.jpg,"It doesn’t get much more classic SF than this old school waterfront dive bar and restaurant that has been serving tasty, inexpensive burgers and strong drinks to locals and tourists alike since 1955. Located on Pier 30, this iconic spot has a patio on the water with views of the Bay Bridge, which means the burgers (served on sourdough with onions, pickles, and yellow mustard) could go for a lot more than seven bucks ($11 if you want it with cheese and a soda). One thing to note: Despite the name, you’re not going to Red’s for actual java. A pitcher of beer, on the other hand…
How to book: Walk-ins only.",Dive Bar,Mission Bay,Thrillist,,Where to Eat and Drink Near Oracle Park,,food,Photo courtesy of Red’s Java House

Public House,https://assets3.thrillist.com/v1/image/3091207/750x500/flatten;crop;webp=auto;jpeg_quality=50.jpg,"You don’t have to have tickets to hit up this spacious sports bar inside of Oracle Park, which is open daily regardless of if there’s a home game or not. And while it’s definitely a sports bar, complete with 26 TVs, a full bar, and a ton of specialty craft beers, it’s a little bit more than “just” a sports bar as it’s operated by chef Traci des Jardins who clearly had an influence on the food menu, which includes some truly tasty nachos, chilaquiles, a double patty melt with special sauce, plus a legit hot dog with caramelized onions on a griddled bun.
How to book: Walk-ins only.",Sports Bar,Mission Bay,Thrillist,,Where to Eat and Drink Near Oracle Park,,drink,Photo by FrankenyImages.com

Kaiyō Rooftop,https://assets3.thrillist.com/v1/image/3091208/750x500/flatten;crop;webp=auto;jpeg_quality=50.jpg,"On the top of the Hyatt Place Hotel, less than a block away from the ballpark, you’ll find the second location of this Peruvian-Nikkei bar and lounge, only this one is even more bustling thanks to its open-air concept, stylish design, and sweeping views of everything from the Bay Bridge to Sutro Tower. Stop by for a Pisco Sour at the oversized bar covered with emerald tiles, or reserve a table where you can enjoy a range of tiraditos, cebiche, sushi, and rolls.
How to book: Walk-ins welcome.",Rooftop Lounge,Mission Bay,Thrillist,TimeOut,Where to Eat and Drink Near Oracle Park,The best cocktail bars in San Francisco right now,drink,"Photo by Anthony Parks & Emilio Salehi, courtesy of Kaiyō Rooftop"

Rooftop 25,https://assets3.thrillist.com/v1/image/3091198/750x500/flatten;crop;webp=auto;jpeg_quality=50.jpg,"25 Lusk is always an excellent choice for dinner or drinks any day of the year, but when you’re in Giants game mode, the heated rooftop bar and restaurant is more the vibe. Located about 50-feet above street level, the restaurant has a modern beer garden feel with a mix of individual and communal tables, a retractable canopy, hanging twinkle lights, heaters, and windscreens. There’s a full bar (including frozen and specialty cocktails) and a food menu centered around the wood-fired oven, including Neapolitan-style pizzas and a Dungeness crab roll.
How to book: Walk-ins welcome. Reservations for parties of five to eight can be made via Yelp.",Rooftop Lounge,Mission Bay,Thrillist,,Where to Eat and Drink Near Oracle Park,,food,"Photo by Anne-Claire Thieulon, courtesy of Rooftop 25"

The Brixton on 2nd,https://assets3.thrillist.com/v1/image/3091199/750x500/flatten;crop;webp=auto;jpeg_quality=50.jpg,"You can count on consistently tasty food and drinks at this spacious bar and restaurant with an all-day menu of hearty fare, like Short Rib Sliders, Spicy Mac and Cheese, Chicken Wings, Nachos, and a solid burger, as well as a full bar, including a few of the restaurant’s own barreled cocktails. The space is light and bright during the day, but our favorite spots are the lounge area next to the retractable window or, if the sun is shining, one of the tables on the small front patio.
How to book: Reservations can be made via SevenRooms.",New American Restaurant,Mission Bay,Thrillist,,Where to Eat and Drink Near Oracle Park,,food,Photo courtesy of The Brixton

District,https://assets3.thrillist.com/v1/image/3091203/750x500/flatten;crop;webp=auto;jpeg_quality=50.jpg,"If your ballpark excursion is a date—or if you’re just with people who really like whiskey and/or wine—start or end the evening with a drink at District, a sexy bar with exposed brick walls and wood beams, a U-shaped bar, comfy lounge seating, and an excellent and diverse wine and whiskey selection, as well as a full bar with craft cocktails. District also has a pretty extensive food selection, including the traditional wine bar options—cheese and charcuterie, as well as oysters, lamb meatballs, sliders, and pizzas.",Cocktial Lounge,Mission Bay,Thrillist,,Where to Eat and Drink Near Oracle Park,,drink,Photo courtesy of District San Francisco

ATWaterTavern,https://assets3.thrillist.com/v1/image/3091204/750x500/flatten;crop;webp=auto;jpeg_quality=50.jpg,"Located in a historic waterfront building, this multi-level bar and restaurant is steps away from Oracle Park and also somehow a little off of the beaten path behind the main parking lot and away from the hustle and bustle of the main Embarcadero thoroughfare. Still, it’s worth seeking out, especially if you enjoy your food and drinks with panoramic views of the Bay, Bay Bridge, and ballpark. You’ll find classic American staples with a seafood slant on the menu—Fish and Chips, an Ahi Tuna Sandwich, Coconut Shrimp, Oysters, Calamari—as well as an extensive cocktail menu, 13 beers on tap, and wines by the glass and carafe. Needless to say, the outdoor deck or one of the outdoor bars are the places to be.
How to book: Reservations can be made online.",American Restaurant,Mission Bay,Thrillist,,Where to Eat and Drink Near Oracle Park,,food,ATwater Tavern

The Hotel Utah Saloon,https://assets3.thrillist.com/v1/image/3091205/750x500/flatten;crop;webp=auto;jpeg_quality=50.jpg,"This 110+ year old bar is a little further from the ballpark than any of the other spots on the list—a whopping half-mile or ten-minute walk—but deserves a mention if only for its friendly bartenders, strong drinks, and the oh-so craveable fries with Utah sauce. If you’re just looking for a drink and a burger, stop in before the game. If you’d like to keep the night going, head there after, though you might have to pay a small cover charge to get inside.
How to book: Walk-ins only.",Sports Bar,Mission Bay,Thrillist,,Where to Eat and Drink Near Oracle Park,,drink,Hotel Utah Saloon

Cole Valley Tavern,https://assets3.thrillist.com/v1/image/3083797/750x500/flatten;crop;webp=auto;jpeg_quality=50.jpg,"Cole Valley, a quaint little village in the middle of the city, often goes ignored when it comes to dining out (save for the ever-popular Zazie brunch), but as of last month, there’s a new reason to make it a destination. Cole Valley Tavern is very much a neighborhood spot, but the fantastic cocktails, comfort food-filled menu, and friendly employees make you feel like you’re part of the ‘hood, even if you had to take an Uber to get there. Obviously, you’re ordering the burger, a smashburger that comes with American cheese, caramelized onions, shredded lettuce, and Thousand Island dressing on a sesame bun. Make it an Impossible Burger for an extra $3.
How to order: Walk-ins only",New American Restaurant,Cole Valley,Thrillist,,17 of the Best Burger Joints in San Francisco,,food,Photo courtesy of Cole Valley Tavern

Marlowe,https://assets3.thrillist.com/v1/image/3083892/750x500/flatten;crop;webp=auto;jpeg_quality=50.jpg,"Marlowe was closed for a solid two years, but as of March, the stylish bistro has reopened its doors with a refreshed look and menu, and the return of the beloved Marlowe burger. What makes it so popular? Well, there’s a little bit of lamb in the patty, which adds a bolder flavor, plus cheddar, bacon, shredded lettuce, and caramelized onions, but it’s the horseradish aioli that really sets it apart from competitors. Ask for extra, so your fries don’t feel left out.
How to order: Make a reservation on Tock.",Rooftop Lounge,SoMa,Thrillist,,17 of the Best Burger Joints in San Francisco,,food,"Photo by Eric Wolfinger, courtesy of Marlowe"

Garaje,https://assets3.thrillist.com/v1/image/3083819/750x500/flatten;crop;webp=auto;jpeg_quality=50.jpg,"You might be hesitant to trust a burger at a bar that also serves really good tacos and burritos, but the Drive-In cheeseburger at Garaje will make you a believer. The burger is one-third pound of certified Angus, double American cheese, griddled onions, pickles, lettuce, tomato, Thousand Island, and ketchup, all on a toasted Acme bun. You can even make it a double if you’re extra hungry.
How to order: Walk-ins only.",Rooftop Lounge,SoMa,Thrillist,,17 of the Best Burger Joints in San Francisco,,food,@garajesf

Mission Bowling Club,https://assets3.thrillist.com/v1/image/3084443/750x500/flatten;crop;webp=auto;jpeg_quality=50.jpg,"Even if you’re not in the mood to go bowling (is that a thing?), it’s still worth going to this upscale bowling alley and cocktail bar for its burger made with aged, granulated short rib and chuck seared in beef fat then topped with Monterey jack, caramelized onions, and caper aioli on an Acme bun. Order one for yourself because just like in bowling, you won’t want to split it.",Bowling Alley,Mission,Thrillist,,17 of the Best Burger Joints in San Francisco,,food,Mission Bowling Club

4505 Burgers & BBQ,https://assets3.thrillist.com/v1/image/2988386/750x500/flatten;crop;webp=auto;jpeg_quality=50.jpg,"If you’re gonna call a burger “The Best Damn Grass-Fed Cheeseburger,” it’d better actually be the best damn grass-fed cheeseburger, which 4505’s truly is (or at least one of the best) thanks in large part to the perfectly grilled grass-fed patty, effortlessly meltable Gruyère, secret sauce, and a buttery, grilled sesame and scallion bun. We don’t want to tell you what to do, but you can make it a double for four more bucks, and it would be a shame to pass up on an opportunity like that, don’t you think? Know before you go: Parking isn’t exactly easy in this neighborhood, and 4505 is counter service with heated outside seating only. ",Rooftop Lounge,Western Addition,Thrillist,,17 of the Best Burger Joints in San Francisco,,food,4505 Burgers & BBQ

Causwells,https://assets3.thrillist.com/v1/image/2988401/750x500/flatten;crop;webp=auto;jpeg_quality=50.jpg,"Even if you’re one of those San Franciscans who look down their noses at the Marina, a trip to Causwells for the Americana burger is well-worth putting those feelings aside for a couple of hours. The smash-style burger tastes like a sophisticated take on In-N-Out’s Double Double, but with way better ingredients and way more deliciousness. The double patties are made with beef from Five Dot Ranch, covered in American cheese, and then topped with lettuce, onion, lacto-fermented pickles, and a secret sauce, all on a seeded bun. You can add accouterments like avocado, bacon, and a fried egg, but you really don’t need any of it; this burger is perfect just the way it is.",Rooftop Lounge,Marina,Thrillist,,17 of the Best Burger Joints in San Francisco,,food,Photo courtesy of Causwells

Gott’s Roadside,https://assets3.thrillist.com/v1/image/2988405/750x500/flatten;crop;webp=auto;jpeg_quality=50.jpg,"Gott's Roadside in the Ferry Building does a juicy double cheeseburger exactly the way a juicy double cheeseburger should be done—nothing too flashy, just one-third pound Niman Ranch Angus beef patties cooked medium well with American cheese, lettuce, tomatoes, pickles, and secret sauce, all on a toasted egg bun. (Or in a lettuce wrap or a gluten-free bun if you prefer.) Gott’s also has a bunch of other tasty burgers with extravagant toppings, like the California burger that comes with a fried egg, Cowgirl Creamery’s Wagon Wheel cheese, Zoe’s bacon, arugula, balsamic onions, and mayo, and the Kimchi burger with a fried egg, kimchi, American cheese, Zoe's bacon, and spicy gochujang mayo, but the classic double is the one we go back to time and time again. (Not eating meat? Gott’s also has a veggie burger and Impossible Burger patties.) Gott’s is counter service and has tables inside and out.",Rooftop Lounge,Embarcadero,Thrillist,,17 of the Best Burger Joints in San Francisco,,food,Gott's Roadside

Balboa Cafe,https://assets3.thrillist.com/v1/image/3083842/750x500/flatten;crop;webp=auto;jpeg_quality=50.jpg,"The burger at this Cow Hollow institution is a little “controversial” for some because it comes on a baguette, but it's precisely that ingenious move that makes this one of the best in SF. It comes with butter lettuce, butter pickles, and onions, and we suggest adding cheddar to complete your masterpiece. Enjoy it indoors or in one of the three heated parklets, and since you’re there, why not add on one of SF’s best espresso martinis to fully embrace the Marina-adjacent life?",Rooftop Lounge,Cow Hollow,Thrillist,,17 of the Best Burger Joints in San Francisco,,food,Balboa Cafe

Nopa,https://assets3.thrillist.com/v1/image/2988422/750x500/flatten;crop;webp=auto;jpeg_quality=50.jpg,"When you have a hankering for a late-night burger, there’s nowhere better to appease it than this go-to SF staple that serves 29,000 of them a year. We’re still easing back into the old definition of “late night,” so the popular spot is currently open until 10 pm Tuesday through Thursday and 11 pm Friday and Saturday. Still, that’s plenty of time to have a few drinks and then enjoy the burger made with Five Dot Ranch chuck that’s ground daily and then grilled over a wood fire and served with melted cheddar, lettuce, and pickled red onions on a house-made brioche bun.",Rooftop Lounge,Western Addition,Thrillist,,17 of the Best Burger Joints in San Francisco,,food,Nopasf

Sam's,https://assets3.thrillist.com/v1/image/2988425/750x500/flatten;crop;webp=auto;jpeg_quality=50.jpg,"Anthony Bourdain called the double cheeseburger at Sam’s one of the three best burgers in the world. To be fair, he’d been vigorously imbibing beforehand, but if you’re at Sam’s, there’s a  good chance you’ve been doing the same. There’s nothing gourmet about this affordable (for SF) burger; the magic is that it’s “just” a classic burger topped with American cheese, mayonnaise, mustard, lettuce, tomato, and onions on a sesame bun. It consistently hits the spot no matter the time of day, but it becomes life-changing after midnight—which is good since it’s one of your only dining options at that time.",Rooftop Lounge,North Beach,Thrillist,,17 of the Best Burger Joints in San Francisco,,food,Sam's

WesBurger 'n' More,https://assets3.thrillist.com/v1/image/2988438/750x500/flatten;crop;webp=auto;jpeg_quality=50.jpg,"Once upon a time, a photographer named Wes Rowe decided that he would stop making his popular burgers just for friends and start offering them to all of San Francisco at a monthly pop-up. He won first place at the SF Burger Brawl not long after, which led to a weekly pop-up. Fast forward to now, and he has his own counter service spot in the Mission where people can feast on his burgers seven days a week. All of the burgers (“’n’ more”) at WesBurger are worthy of debate, but the champion is the original smash burger with mustard, pickles, ketchup, onion, and American cheese. The smash burger patties are only three ounces, so needless to say, you’ll want to make it a double.",Rooftop Lounge,Mission,Thrillist,,17 of the Best Burger Joints in San Francisco,,food,WesBurger 'N' More

Violet’s,https://assets3.thrillist.com/v1/image/2988468/750x500/flatten;crop;webp=auto;jpeg_quality=50.jpg,"There’s nothing better than grabbing a seat at the bar of this cozy spot and ordering an Old Fashioned and the Tavern Burger, a decadent combination of Flannery beef, Hobbs thick-cut bacon, American cheese, chipotle aioli, lettuce, onions, and pickles, served with shoestring fries. There is also an Impossible burger, which is very similar except for no beef or bacon.",Rooftop Lounge,Outer Richmond,Thrillist,TimeOut,17 of the Best Burger Joints in San Francisco,The best cocktail bars in San Francisco right now,food,@violetstavern

Super Duper Burgers,https://assets3.thrillist.com/v1/image/2988476/750x500/flatten;crop;webp=auto;jpeg_quality=50.jpg,"People in California love to sing the praises of In-N-Out, but if we’re opting for a fast food burger, we actually prefer Super Duper’s slightly fancier version made with organic, locally sourced, humanely raised ingredients, including vegetarian-fed beef with an 80 to 20 protein to fat blend. It’s just a lot better, specifically, the Super Burger made with two very juicy four-ounce patties and topped with lettuce, tomatoes, red onions, and a secret sauce. Add cheddar cheese because a burger is always better when it’s a cheeseburger. And if you’re dining in, add a spiked milkshake to your order because … well, does it really require a reason?",Rooftop Lounge,Multiple locations,Thrillist,,17 of the Best Burger Joints in San Francisco,,food,Super Duper Burgers

San Ho Won,https://assets3.thrillist.com/v1/image/3079647/750x500/flatten;crop;webp=auto;jpeg_quality=50.jpg,"There was a lot of buzz about this Korean barbecue restaurant from Michelin-starred chef Corey Lee (Benu) and Jeong-In Hwang, and, in news that will surprise absolutely no one, it lives up to the hype. The space is sleek and stark with a casual vibe (well, compared to Benu, anyway), allowing the smoky dishes to shine. Unlike most Korean barbecue spots in SF, you’ll leave the cooking of the meat to the chefs, who prepare well-sourced ingredients with meticulous techniques for memorable charcoal-grilled barbecue. The charcoal is solid lychee wood charcoal that’s produced especially for the restaurant, in case you had any doubts about these meats (Marinated Prime Beef Short Rib, Prime Beef Neck Filet, Pork Ribs, and Rotisserie Chicken, to name a few) lingering in your mind. There’s also a ton of non-barbecue stuff, but don’t lose focus!
How to enjoy: Reservations are released at 10 am each day and can be made online. Counter seats are available for walk-ins.",K-Barbeque Joint,Mission,Thrillist,,Where to Find the Best Barbecue in San Francisco,,food,@sanhowon

Hardwood Bar & Smokery,https://assets3.thrillist.com/v1/image/3079648/750x500/flatten;crop;webp=auto;jpeg_quality=50.jpg,"This sleek sports bar/barbecue joint comes from a trio of Bay Area natives and industry vets who are proudly putting out a new style of Bay Area-style ‘cue that features meats smoked over white oak and mesquite sourced from Northern California. The result is some seriously flavorful Pork Spare Ribs, Creekstone Beef Brisket, and Mesquite Barbecue Chicken (among others) that taste delicious on a platter or in a sandwich. Just make sure you tack on an order of Brisket Chili Cheese Fries for the table. The Fried Apple Pie is also a must.
How to enjoy: Walk in or order online for pickup.",Sports Bar,Design District,Thrillist,,Where to Find the Best Barbecue in San Francisco,,food,Hardwood Bar & Smokery

Baby Blues BBQ,https://assets3.thrillist.com/v1/image/2977114/750x500/flatten;crop;webp=auto;jpeg_quality=50.jpg,"This is the spot to go if one of you prefers North Carolina barbecue and the other is ride-or-die Texas-style and you decide you want to “meat” in the middle. This mini barbecue chain (with two LA locations plus a spot in Philly) doesn’t play favorites and instead focuses on a hybrid-style of the four main BBQ food groups: North Carolina, Texas, Kansas City, and Memphis. It also puts out a damn good mac and cheese. You can still order for delivery, but everything tastes better when you’re fully immersed in the smell of smoke from meat that’s been cooked to perfection.
How to enjoy: Walk in for dine-in and takeout. Call 415-896-4250 for pick-up.",Barbeque Joint,Bernal Heights,Thrillist,,Where to Find the Best Barbecue in San Francisco,,food,Baby Blues BBQ

Hing Lung Company,https://assets3.thrillist.com/v1/image/3079653/750x500/flatten;crop;webp=auto;jpeg_quality=50.jpg,"Family-owned Hing Lung has been dishing out some of the city’s best Chinese barbecue for decades, and now it’s offering delivery for the first time under the moniker “Go Duck Yourself.” Want to pick it up in person? The shop is also open. For dinner, opt for a plate of Roast Duck or Honey-Glazed Pork, served over rice, veggies, and plum sauce. Or cater an afternoon picnic or binge-watch session with Duck Fat-Fried Chicharrones and Salt and Pepper Jalapeño Wings.",Barbeque Joint,Chinatown,Thrillist,,Where to Find the Best Barbecue in San Francisco,,food,@hing_lung_co._sf

International Smoke,https://assets3.thrillist.com/v1/image/2977123/750x500/flatten;crop;webp=auto;jpeg_quality=50.jpg,"Steph Curry may dominate on the court, but it’s his wife Ayesha Curry who’s a baller in the kitchen. Her collab with Michael Mina is inspired by their global travels, so be prepared for international twists on barbecue staples. Order your ribs cooked in one of four styles: St. Louis, American Barbecue, Korean Sesame-Gochujang, or Mexican Chipotle. There are a few new items on the menu that pair beautifully with their selection of wood-fired meats, including Whole Roasted Cauliflower and Peking Pork Belly Bao Buns.
How to enjoy: Make reservations via SevenRooms. Order for takeout and delivery via BBot.",Barbeque Joint,SoMa,Thrillist,,Where to Find the Best Barbecue in San Francisco,,food,Photo courtesy of International Smoke

Memphis Minnie's BBQ Joint,https://assets3.thrillist.com/v1/image/2977145/750x500/flatten;crop;webp=auto;jpeg_quality=50.jpg,"Memphis Minnie’s helped put SF’s barbecue scene on the map, and continues to dish up some of the city’s best ribs, brisket, and pulled pork, with an especially solid sauce game (try the Carolina Mustard). It’s also one of the few local barbecue places to bring it on the dessert front, with some seriously good Pecan and Peach Pie.
How to enjoy: Walk-ins only. Order for pickup or cash-only delivery within a limited zone by calling 415-864-7675; delivery to outlying neighborhoods and all credit-card orders go through Caviar.",Barbeque Joint,Lower Haight,Thrillist,,Where to Find the Best Barbecue in San Francisco,,food,Memphis Minnie's BBQ Joint

Smokin' Warehouse Barbecue,https://assets3.thrillist.com/v1/image/2977151/750x500/flatten;crop;webp=auto;jpeg_quality=50.jpg,"This Bayview-based barbecue window puts out some seriously smokin’ beef ribs, brisket, and barbecue chicken, best enjoyed with sides like bacon and jalapeño-topped mac and cheese, coleslaw, and cornbread. Be sure to throw in a pint of the Brisket Chili for a killer next-day WFH lunch.",Barbeque Joint,Bayview & Presidio Heights,Thrillist,,Where to Find the Best Barbecue in San Francisco,,food,Smokin' Warehouse Barbecue

Westwood,https://assets3.thrillist.com/v1/image/2977155/750x500/flatten;crop;webp=auto;jpeg_quality=50.jpg,"Listen, just because a restaurant is in the Marina, is all about country music, and has a mechanical bull doesn’t mean it can’t also put out some damn fine smoked meat. (Also, who can begrudge live country music and a mechanical bull? No one, that’s who.) Westwood definitely has an over-the-top country theme, but that theme includes BBQ, burgers, and whiskey, plus smoked meat by the plate or pound and all of the fixin’s you’d expect. A plate of meat is always good, but going the sandwich route here is also a solid choice because smoked meat, pickles, and coleslaw on a brioche bun is really, really good.",Barbeque Joint,Marina,Thrillist,,Where to Find the Best Barbecue in San Francisco,,food,Photo courtesy of Westwood

Vegan Mob,https://assets3.thrillist.com/v1/image/2977162/750x500/flatten;crop;webp=auto;jpeg_quality=50.jpg,"If you heard a record scratch when you saw the name of this restaurant and remembered you are reading about the best barbecue spots, just hold your horses before you get all-fired up. Vegan Mob is absolutely barbecue. It comes courtesy of Toriano Gordon, a rapper-turned-chef (born in the Fillmore) who works magic with soul food and barbecue fusion. Not convinced? Just take a look at the line. Pair the Texas-style “brisket” and “ribs” with an order of “bacon” collard greens. The California Barbequito is another standout: a giant tortilla filled with smoked “brisket” and “smackaroni”, with melted cheese, french fries, guac, sour cream, and a side of mob sauce. The SF food truck is temporarily closed (with occasional pop-ups you can look out for on Instagram), but you can still order pickup in Oakland.
How to enjoy: Order takeout online.",Barbeque Joint,Oakland,Thrillist,,Where to Find the Best Barbecue in San Francisco,,food,Photo courtesy of Vegan Mob

Horn Barbecue,https://assets3.thrillist.com/v1/image/2977164/750x500/flatten;crop;webp=auto;jpeg_quality=50.jpg,"Is this a list of the best barbecue joints in SF? Yes, it is. Is Horn Barbecue across the bridge in Oakland? Also, yes. But there’s no way we were going to put out a list of the best barbecue and not include pitmaster-extraordinaire Matt Horn. Believe us, it’s worth the drive (or BART ride) to get his Michelin Bib Gourmand-listed, West Coast-style barbecue featuring brisket, spare ribs, pulled pork, and more. Want to go hog wild? You can on Sundays when you can buy a whole hog. Also, you cannot leave without an order of the Banana Pudding. Take it home to enjoy later if you’re too full to eat it there. Just please make sure it gets in your mouth eventually.
How to enjoy: Walk-in or pre-order online.",Barbeque Joint,Oakland,Thrillist,,Where to Find the Best Barbecue in San Francisco,,food,Horn Barbecue

Good Good Culture Club,https://assets3.thrillist.com/v1/image/3078147/750x500/flatten;crop;webp=auto;jpeg_quality=50.jpg,"Good Good Culture Club, a project from former Liholiho Yacht Club chefs that’s as focused on equity as it is on delicious Laotian and Filipino-inspired flavors, also boasts an excellent outdoor rooftop situation. With vibes that blend a tropical vacation with an epic backyard barbecue, it’s an excellent place to eat some Halibut Crudo and Bone-In Pork Belly with a cocktail or two.
How to book: Reservations are available online.",Filipino Restaurant,Mission,Thrillist,,The Best Patios for Outdoor Dining in San Francisco,,food,Good Good Culture Club

Casements,https://assets3.thrillist.com/v1/image/3078120/750x500/flatten;crop;webp=auto;jpeg_quality=50.jpg,"Casements was always poised to be one of our favorite bars in the city, thanks to their standout cocktails, top-notch fish and chips, and, hands down, the best pint of Guinness this side of the Atlantic (not to mention their consistently on-point tunes). But the spacious back patio—created as a pandemic pivot shortly after they opened in March 2020—has upped the ante considerably, making it one of the absolute best places for an outdoor hang in town. From the joyful, colorful murals depicting Irish rock heroes (Dolores O’Riordan of the Cranberries! Phil Lynott of Thin Lizzy!) to the outdoor snug and regular roster of live music and vinyl nights, Casements is the indoor-outdoor bar of our dreams.
How to book: You can make reservations for groups of six or more, otherwise, seating is first-come, first-served.",Cocktail Bar,Mission,Thrillist,Eater,The Best Patios for Outdoor Dining in San Francisco,17 Essential Cocktail Bars in San Francisco,drink,Casements Bar

Mission Rock Resort,https://assets3.thrillist.com/v1/image/3078125/750x500/flatten;crop;webp=auto;jpeg_quality=50.jpg,"We can’t think of anything better than eating fresh oysters on a two-level deck jutting out into the Bay with a cold beer or glass of wine or cocktail, and maybe a crab roll or some fish tacos or, on the weekends, a Dungeness Crab Benedict. Good thing we have the Mission Rock Resort, which, in addition to being ideally situated for pre-Warrior’s games good luck oysters (that's a thing, right?), is also often blocked from the wind, a waterfront rarity in this town.
How to book: Reservations are available via Yelp.",Oyster Bar,Mission Bay,Thrillist,,The Best Patios for Outdoor Dining in San Francisco,,food,Mission Rock Resort

State Bird Provisions,https://assets3.thrillist.com/v1/image/3078324/750x500/flatten;crop;webp=auto;jpeg_quality=50.jpg,"The addition of more tables at State Bird Provisions, one of the tougher reservations to get in the Before Times (and, one of the more delicious and fun dining experiences in San Francisco, period), is reason enough for celebration. But State Bird’s outdoor setup is as charming as a Sourdough Sauerkraut Pancake (read: very), complete with wooden floors, art-covered walls, and ample plants. Even better: the dim sum carts are back! However it’s still State Bird, so book early and book often.
How to book: Reservations are available online.",Fine Dining Restaurant,The Fillmore,Thrillist,,The Best Patios for Outdoor Dining in San Francisco,,food,State Bird Provisions

Zeitgeist,https://assets3.thrillist.com/v1/image/3078319/750x500/flatten;crop;webp=auto;jpeg_quality=50.jpg,"This iconic beer garden has long been a destination for sunny days and bundled up nights. The menu features standard pub grub with burgers, sandwiches, and wings, and you’ll catch free live music on Wednesdays and Sundays. Pair whatever you order with one of 20+ beers on tap, a cocktail, or Zeitgeist’s famous Bloody. Hours vary, but the bar is once again open until 1 am on Fridays and Saturdays.
How to book: Walk-ins available on a first come, first served basis.",Beer Garden,Mission,Thrillist,Secret,The Best Patios for Outdoor Dining in San Francisco,"13 Best Bars In San Francisco, According To Locals",drink,Zeitgeist SF

Fiorella,https://assets3.thrillist.com/v1/image/3078121/750x500/flatten;crop;webp=auto;jpeg_quality=50.jpg,"Pre-pandemic, Fiorella’s original Inner Richmond location’s dreamy back garden was one of our favorite spots for outdoor dining. That’s still true, but it has some serious competition from the newest Fiorella in the Inner Sunset, where they’ve made outdoor magic yet again with a plant-filled rooftop oasis (they’re also offering brunch and serving cocktails). Considering there’s delicious pizza at both locations, there’s really no going wrong here.
How to book: Make reservations online for the Sunset location. Reservations for the Richmond location can also be made online.",Italian Restaurant,Inner Sunset and the Richmond,Thrillist,,The Best Patios for Outdoor Dining in San Francisco,,food,Fiorella

Californios,https://assets3.thrillist.com/v1/image/3078146/750x500/flatten;crop;webp=auto;jpeg_quality=50.jpg,"Californios made a big pandemic move from the Mission to 11th Street, upgrading to a larger, industrial-chic space with a lovely front garden and patio area. It’s a wonderful place to enjoy chef Val Cantu’s two Michelin-starred, mind-blowingly creative and delicious takes on California-tinged modern Mexican fare. 10/10 would recommend.
How to book: Reservations are available via Tock.",Californian Restaurant,SoMa,Thrillist,,The Best Patios for Outdoor Dining in San Francisco,,food,Californios SF

All Good Pizza,https://assets3.thrillist.com/v1/image/2957009/750x500/flatten;crop;webp=auto;jpeg_quality=50.jpg,"All Good Pizza’s expansive (7,000-square-feet) outdoor beer garden is a great spot for a socially distanced pizza feast, with Neapolitan-style brick-oven pizzas, organic salads, and paninis grilled on fresh-baked local bread, plus beer and wine. And since Bayview is one of SF’s sunniest neighborhoods, there’s a good chance you’ll be able to dine jacket-free.
How to book: Walk-ins available on a first-come, first-served basis.",Italian Restaurant,Bayview,Thrillist,,The Best Patios for Outdoor Dining in San Francisco,,food,All Good Pizza

Da Flora,https://assets3.thrillist.com/v1/image/3078323/750x500/flatten;crop;webp=auto;jpeg_quality=50.jpg,"This beloved North Beach Italian restaurant, helmed by husband-and-wife team Jen McMahon and Darren Lacey, has a parklet with a covered roof and heat lamps for dinner service. The dinner menu features seasonal dishes like Pesce en Brodo with Dungeness crab, jumbo prawns, PEI mussels, and lingcod, as well as a selection of wines by the glass and bottle and a few beer options. The streetside patio features a partition to block out street noise as well as a shade covering and heat lamps.
How to book: Walk-ins are welcome or call 415-981-4664 to make a reservation.",Italian Restaurant,North Beach,Thrillist,,The Best Patios for Outdoor Dining in San Francisco,,food,@daflora_sf

Prubechu,https://assets3.thrillist.com/v1/image/2957014/750x500/flatten;crop;webp=auto;jpeg_quality=50.jpg,"Prubechu, a destination for Guamanian food and flavors, is open for outdoor dining in a plant-bedecked lot adjacent to the Mission Street restaurant. Satiate your cravings for Chamorro flavors, including Guam-style barbecue, empanadas, local beer, natural wine, and more. Stop by on Thursday evenings when they offer live music.
How to book: Walk-ins are welcome.",Guamanian Restaurant,Mission,Thrillist,,The Best Patios for Outdoor Dining in San Francisco,,food,Prubechu

